AVG,AB,R,H,DBL,TRIP,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,SBATT,FLD%,NEBWINS,OPPWINS,YEAR,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,771,97,189,37,5,22,87,302,39.2,71,26,224,12,32.8,5,6,10,20,0.954,18,6,2021,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
25.7,502,95,129,23,4,14,84,202,40.2,58,13,122,7,34.4,9,3,11,17,0.968,7,8,2020,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.9,1917,293,515,85,7,42,272,740,38.6,168,57,414,32,34.3,18,25,28,45,0.973,32,24,2019,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
29.1,1801,333,524,77,4,48,296,753,41.8,188,55,338,33,37.1,24,39,37,54,0.966,24,28,2018,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.2,1974,246,517,92,6,28,234,705,35.7,165,38,386,46,32.9,13,24,21,36,0.966,35,22,2017,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
25.3,2037,325,572,102,11,43,292,825,40.5,213,58,363,36,36.1,24,24,62,92,0.966,37,22,2016,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
25.8,1915,203,494,81,11,25,184,672,35.1,144,30,376,40,31.7,20,38,26,45,0.974,34,23,2015,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.3,2085,270,549,70,9,18,240,691,33.1,198,38,356,42,33.4,26,51,40,63,0.972,41,21,2014,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
28.5,2009,301,572,90,8,21,285,741,36.9,207,76,321,41,37,21,56,47,75,0.956,29,30,2013,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
29.1,2030,300,591,86,15,27,282,788,38.8,199,50,328,40,36.6,19,36,29,57,0.962,35,23,2012,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.8,1857,262,498,88,7,26,236,678,36.5,206,50,389,27,35.4,17,56,43,78,0.965,30,25,2011,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,1812,307,509,107,4,52,274,780,43,226,43,358,51,37,19,37,45,74,0.966,27,27,2010,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
29.1,1882,379,547,99,18,50,348,832,44.2,256,74,361,41,39.3,21,54,56,73,0.967,25,28,2009,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
25.2,1977,287,498,98,13,37,257,733,37.1,192,64,491,46,33.5,20,33,50,65,0.959,41,16,2008,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.9,1967,314,529,89,11,41,283,763,38.8,233,63,464,44,36,28,45,49,70,0.962,32,27,2007,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
24.7,1947,230,480,68,12,33,209,671,34.5,187,52,388,41,32.7,12,46,39,56,0.973,42,17,2006,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
22.7,2335,235,530,96,6,38,210,752,32.2,187,43,538,46,29.5,14,43,34,66,0.962,57,15,2005,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26.8,2003,255,537,88,9,37,225,754,37.6,165,41,389,44,33.4,15,32,35,65,0.968,36,23,2004,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
26,2181,291,566,81,11,49,261,816,37.4,164,51,469,62,32.4,14,37,60,83,0.957,47,18,2003,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
25,2291,296,572,109,15,45,267,846,36.9,185,52,478,45,31.7,23,34,29,45,0.956,47,21,2002,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
27.8,2271,346,632,129,5,47,318,912,40.2,187,51,503,48,34.5,16,40,65,95,0.951,50,16,2001,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
24,2237,259,537,83,8,44,230,768,34.3,167,37,484,33,30,26,33,49,78,0.95,51,17,2000,OPP,,,,,,,,,,,,,,,,,,,,,,,,,
29.6,807,186,239,39,4,32,162,382,47.3,120,21,206,11,39.9,5,23,36,42,0.983,18,6,2021,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,512,102,144,22,2,17,96,221,43.2,65,15,110,13,37.5,5,7,9,17,0.98,7,8,2020,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
25.6,1896,325,485,77,8,35,294,683,36,292,61,523,27,36.9,25,17,53,72,0.968,32,24,2019,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
27.4,1781,337,488,75,10,47,305,724,40.7,255,39,393,36,37.1,30,20,34,42,0.969,24,28,2018,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.3,2019,337,571,106,9,25,292,770,38.1,228,48,433,48,36.5,23,23,45,54,0.977,35,23,2017,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,2037,325,572,102,11,43,292,825,40.5,213,58,363,36,36.1,24,24,62,92,0.976,37,22,2016,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
27.6,1931,274,532,89,13,22,246,713,36.9,196,28,323,33,34.8,20,48,40,58,0.979,34,23,2015,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
29.3,2126,363,623,98,19,19,331,816,38.4,222,29,305,36,36.3,28,59,39,57,0.976,41,21,2014,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
29.1,2075,325,604,89,13,15,293,764,36.8,178,45,381,44,35.5,30,58,56,80,0.981,29,30,2013,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
31.5,2057,413,647,104,12,47,375,916,44.5,184,61,288,39,38.4,20,47,62,81,0.974,35,23,2012,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
27,1841,299,497,99,10,30,268,706,38.3,179,89,394,25,35.9,22,52,50,78,0.975,30,25,2011,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
30.1,1877,374,565,104,8,60,346,865,46.1,202,86,361,42,38.9,25,19,39,61,0.971,27,27,2010,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.2,1879,351,529,107,15,48,309,810,43.1,197,71,370,43,36.8,21,33,51,72,0.97,25,28,2009,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
27.6,1976,370,545,109,13,38,334,794,40.2,218,90,336,35,36.9,29,35,78,104,0.971,41,16,2008,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.8,1984,339,571,100,13,33,306,796,40.1,239,75,307,34,38.1,24,73,63,85,0.965,32,27,2007,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
31,2044,376,634,110,14,70,353,982,48,221,75,331,38,39.4,21,46,85,118,0.974,42,17,2006,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,2448,487,739,128,15,67,426,1098,44.9,307,80,405,49,39.3,28,58,101,135,0.975,57,15,2005,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,1977,389,555,112,10,52,355,843,42.6,230,95,380,380,37.9,17,58,64,92,0.975,36,23,2004,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
30.4,2229,484,677,106,15,70,440,1041,46.7,271,103,367,41,40,26,65,90,130,0.969,47,18,2003,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
31.5,2403,543,756,154,20,74,491,1172,48.8,299,98,362,50,40.5,46,49,73,93,0.97,47,21,2002,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
33.4,2356,607,787,134,22,81,547,1208,51.3,363,62,350,37,43.1,32,48,124,138,0.958,50,16,2001,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,2342,560,762,117,12,76,499,1131,48.3,349,71,389,43,42.2,39,77,126,162,0.967,51,17,2000,NEB,,,,,,,,,,,,,,,,,,,,,,,,,
